0|0|0.0|http://cdn.pitchfork.com/albums/5624/homepage_large.3a38a375.jpg|Dream Sounds|2998.0|Nagisa Ni Te|['Rock']|0.0|0.0|0.0|['Jagjaguwar']|2005-03-17|2005.0|2016-06-19 16:40:18.585022|5700.0|http://pitchfork.com/reviews/albums/5700-dream-sounds/|7.0|Adam Moerder
1|1|0.0|http://cdn2.pitchfork.com/albums/13429/homepage_large.07b06f9a.jpg|In a Cave|1639.0|French Toast|['Metal']|0.0|0.0|0.0|['Dischord']|2005-03-15|2005.0|2016-06-19 16:40:18.908169|3335.0|http://pitchfork.com/reviews/albums/3335-in-a-cave/|6.8|Tom Breihan
2|2|0.0|http://cdn4.pitchfork.com/albums/3266/homepage_large.68afbc4a.jpg|Golden Ocean|1616.0|50FootWave|['Rock']|0.0|0.0|0.0|['4AD', 'BMG']|2005-03-15|2005.0|2016-06-19 16:40:19.213422|3296.0|http://pitchfork.com/reviews/albums/3296-golden-ocean/|7.3|David Raposa
3|3|0.0|http://cdn3.pitchfork.com/albums/2862/homepage_large.484607f2.jpg|Eyes Adrift|1392.0|Eyes Adrift|['Rock']|0.0|0.0|0.0|['spinART']|2002-10-03|2002.0|2016-06-19 16:40:19.529823|2887.0|http://pitchfork.com/reviews/albums/2887-eyes-adrift/|4.3|Brendan Reid
4|4|0.0|http://cdn.pitchfork.com/albums/4082/homepage_large.78033315.jpg|The Creek Drank the Cradle|26448.0|Iron & Wine|['Folk/Country']|0.0|0.0|0.0|['Sub Pop']|2002-10-01|2002.0|2016-06-19 16:40:19.837434|4126.0|http://pitchfork.com/reviews/albums/4126-the-creek-drank-the-cradle/|8.1|Ryan Kearney
5|5|0.0|http://cdn3.pitchfork.com/albums/8331/homepage_large.5282f328.jpg|Carousel|4482.0|Victory at Sea|['Rock', 'Metal']|0.0|0.0|0.0|['Kimchee']|2002-01-09|2001.0|2016-06-19 16:40:20.147711|8469.0|http://pitchfork.com/reviews/albums/8469-carousel/|8.0|Christopher Dare
6|6|0.0|http://cdn3.pitchfork.com/albums/19912/homepage_large.f86d27db.jpg|Back to Land|5482.0|Wooden Shjips|['Rock']|0.0|0.0|0.0|['Thrill Jockey']|2013-11-15|2013.0|2016-06-19 16:40:20.489921|18720.0|http://pitchfork.com/reviews/albums/18720-wooden-shjips-back-to-land/|6.5|Stuart Berman
7|7|0.0|http://cdn2.pitchfork.com/albums/19908/homepage_large.bb45b977.jpg|Mug Museum|9328.0|Cate Le Bon|['Folk/Country']|0.0|0.0|0.0|['Wichita', 'Turnstile']|2013-11-15|2013.0|2016-06-19 16:40:20.810298|18716.0|http://pitchfork.com/reviews/albums/18716-cate-le-bon-mug-museum/|7.3|Jeremy D. Larson
8|8|0.0|http://cdn3.pitchfork.com/albums/19879/homepage_large.fe27a846.jpg|Clean|30150.0|Whores|[]|0.0|0.0|0.0|['Brutal Panda']|2013-11-15|2013.0|2016-06-19 16:40:21.139604|18687.0|http://pitchfork.com/reviews/albums/18687-whores-clean/|6.4|Andy O'Connor
9|9|0.0|http://cdn3.pitchfork.com/albums/19965/homepage_large.26f49927.jpg|UZU|30099.0|Yamantaka // Sonic Titan|['Rock', 'Experimental']|0.0|0.0|0.0|['Suicide Squeeze', 'Paper Bag']|2013-11-14|2013.0|2016-06-19 16:40:21.477625|18771.0|http://pitchfork.com/reviews/albums/18771-yamantaka-sonic-titan-uzu/|7.8|Joe Tangari
10|10|0.0|http://cdn3.pitchfork.com/albums/19848/homepage_large.81095621.jpg|I Am The Center: Private Issue New Age Music In America 1950-1990|0.0|Various Artists|[]|0.0|1.0|0.0|['Light in the Attic']|2013-11-14|2013.0|2016-06-19 16:40:21.787970|18655.0|http://pitchfork.com/reviews/albums/18655-i-am-the-center-private-issue-new-age-music-in-america-1950-1990/|8.3|Mike Powell
11|11|0.0|http://cdn2.pitchfork.com/albums/19915/homepage_large.3fe2973c.jpg|Nearest Suns|5524.0|Brad Laner|['Rock']|0.0|0.0|0.0|['Hometapes']|2013-11-14|2013.0|2016-06-19 16:40:22.107926|18723.0|http://pitchfork.com/reviews/albums/18723-brad-laner-nearest-suns/|6.3|Miles Raymer
12|12|0.0|http://cdn2.pitchfork.com/albums/19845/homepage_large.a6440b4d.jpg|As Plantas Que Curam|31763.0|Boogarins|[]|0.0|0.0|0.0|['Other Music']|2013-11-14|2013.0|2016-06-19 16:40:22.439980|18652.0|http://pitchfork.com/reviews/albums/18652-boogarins-as-plantas-que-curam/|7.1|Jayson Greene
13|13|0.0|http://cdn4.pitchfork.com/albums/19943/homepage_large.e2f4dcdd.jpg|Songs for Slim: Rockin' Here Tonight|0.0|Various Artists|[]|0.0|0.0|0.0|['New West']|2013-11-13|2013.0|2016-06-19 16:40:22.739526|18751.0|http://pitchfork.com/reviews/albums/18751-songs-for-slim-rockin-here-tonight/|7.0|Jason Heller
